สาขา,เลขที่เอกสาร,รหัสสินค้า,รายการขาย,ยอดรวม,ส่วนลดรายการ,ยอดสุทธิ,ส่วนลดโปรโมชั่น,ส่วนลดบัตรกำนัล,ส่วนลดท้ายบิล,ยอดบิลสุทธิ
001 / สนามบินดอนเมือง,ABB-001-2602/00103,1. DON004,Salmon Don(หน่วย),210,0,210,0,0,0,210
001 / สนามบินดอนเมือง,ABB-001-2602/00104,1. DON010,Buta Kimchi Don(หน่วย),145,0,145,0,0,0,145
001 / สนามบินดอนเมือง,ABB-001-2602/00105,1. BEV006,ITOEN Unsweetened Green Tea (Bottle) 500 ml.(หน่วย),50,0,50,0,0,0,50
001 / สนามบินดอนเมือง,ABB-001-2602/00106,1. BEV001,Singha Beer (Can) 320 ml.(หน่วย),180,0,180,0,0,0,180
001 / สนามบินดอนเมือง,ABB-001-2602/00107,1. DES002,Yuzu Daifuku(หน่วย),39,0,39,0,0,0,39
001 / สนามบินดอนเมือง,ABB-001-2602/00108,1. MINI007,Sushi Bento Veggie 1(หน่วย),175,0,175,0,0,0,175
001 / สนามบินดอนเมือง,ABB-001-2602/00109,1. DON009,Unagi Don(หน่วย),385,0,385,0,0,0,630
,,2. MINI011,Sushi Bento 2 Friends(หน่วย),245,0,245,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00110,1. DES002,Yuzu Daifuku(หน่วย),39,0,39,0,0,0,39
001 / สนามบินดอนเมือง,ABB-001-2602/00111,1. BEV006,ITOEN Unsweetened Green Tea (Bottle) 500 ml.(หน่วย),50,0,50,0,0,0,100
,,2. BEV007,ITOEN Elegant Jasmine Green Tea (Bottle) 500 ml.(หน่วย),50,0,50,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00112,1. MINI001,Salmon Sushi 7 pcs.(หน่วย),210,0,210,0,0,0,210
001 / สนามบินดอนเมือง,ABB-001-2602/00113,1. DON015,Salmon Teriyaki Don(หน่วย),250,0,250,0,0,0,559
,,2. DON004,Salmon Don(หน่วย),210,0,210,,,,
,,3. APP007,Kimchi(หน่วย),60,0,60,,,,
,,4. DES002,Yuzu Daifuku(หน่วย),39,0,39,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00114,1. DON010,Buta Kimchi Don(หน่วย),145,0,145,0,0,0,145
001 / สนามบินดอนเมือง,ABB-001-2602/00115,1. DON013,Torikatsu Curry Don(หน่วย),240,0,240,0,0,0,240
001 / สนามบินดอนเมือง,ABB-001-2602/00116,1. MINI011,Sushi Bento 2 Friends(หน่วย),245,0,245,0,0,0,245
001 / สนามบินดอนเมือง,ABB-001-2602/00117,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),20,0,20,0,0,0,20
001 / สนามบินดอนเมือง,ABB-001-2602/00118,1. BEV006,ITOEN Unsweetened Green Tea (Bottle) 500 ml.(หน่วย),50,0,50,0,0,0,50
001 / สนามบินดอนเมือง,ABB-001-2602/00119,1. DON015,Salmon Teriyaki Don(หน่วย),250,0,250,0,0,0,415
,,2. MINI008,Sushi Bento  Veggie 2(หน่วย),165,0,165,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00120,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00121,1. BEV006,ITOEN Unsweetened Green Tea (Bottle) 500 ml.(หน่วย),50,0,50,0,0,0,89
,,2. DES003,Matcha Red Bean Daifuku(หน่วย),39,0,39,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00122,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00123,1. MINI014,Sushi Moriawase Set(หน่วย),220,0,220,0,0,0,465
,,2. MINI011,Sushi Bento 2 Friends(หน่วย),245,0,245,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00124,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00125,1. DES002,Yuzu Daifuku(หน่วย),39,0,39,0,0,0,78
,,2. DES003,Matcha Red Bean Daifuku(หน่วย),39,0,39,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00126,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00127,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00128,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),20,0,20,0,0,0,20
001 / สนามบินดอนเมือง,ABB-001-2602/00129,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00130,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00131,1. DES004,Dorayaki(หน่วย),50,0,50,0,0,0,167
,,2. DES002,Yuzu Daifuku(หน่วย),39,0,39,,,,
,,3. DES003,Matcha Red Bean Daifuku(หน่วย),39,0,39,,,,
,,4. DES001,Rare Cheese Daifuku(หน่วย),39,0,39,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00132,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00133,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00134,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),30,0,30,0,0,0,30
001 / สนามบินดอนเมือง,ABB-001-2602/00135,1. MINI001,Salmon Sushi 7 pcs.(หน่วย),210,0,210,0,0,0,210
001 / สนามบินดอนเมือง,ABB-001-2602/00136,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),20,0,20,0,0,0,110
,,2. BEV001,Singha Beer (Can) 320 ml.(หน่วย),90,0,90,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00137,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00138,1. MINI011,Sushi Bento 2 Friends(หน่วย),245,0,245,0,0,0,245
001 / สนามบินดอนเมือง,ABB-001-2602/00139,1. BEV007,ITOEN Elegant Jasmine Green Tea (Bottle) 500 ml.(หน่วย),150,0,150,0,0,0,160
,,2. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00140,1. DON014,Negi Salmon Don(หน่วย),210,0,210,0,0,0,210
001 / สนามบินดอนเมือง,ABB-001-2602/00141,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00142,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00143,1. MINI014,Sushi Moriawase Set(หน่วย),220,0,220,0,0,0,220
001 / สนามบินดอนเมือง,ABB-001-2602/00144,1. BEV002,Asahi Beer (Can) 330 ml.(หน่วย),180,0,180,0,0,0,180
001 / สนามบินดอนเมือง,ABB-001-2602/00145,1. APP005,Tako Wasabi(หน่วย),110,0,110,0,0,0,150
,,2. APP001,Chuka Wakame(หน่วย),40,0,40,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00146,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00147,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00148,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00149,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00150,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00151,1. MINI001,Salmon Sushi 7 pcs.(หน่วย),210,0,210,0,0,0,210
